rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha,k,sigma_Ab,sigma_G1,sigma_G2,group
91,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
92,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
92,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
93,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
93,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
94,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
94,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
95,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
95,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
96,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
96,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
97,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
97,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
98,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
98,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
99,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
99,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
100,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
100,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
